contour_area;contour_perimetr;contour_circularity;aspect_ratio;class;
 24721.0; 597.671137213707; 310653.25; 1.2493656221389384;0;
 24134.5; 622.3990552425385; 303283.07; 1.7010802522340642;0;
 21232.5; 565.4873677492142; 266815.46; 1.2986074814497819;0;0+E5:E45
 13093.0; 447.9898952245712; 164531.49; 1.647060006884497;0;
 18661.5; 521.8305140733719; 234507.33; 1.0501091762543586;0;
 24377.5; 622.1391727924347; 306336.7; 1.5372636124842505;0;
 28899.5; 660.4579302072525; 363161.83; 1.3139715784354624;0;
 23010.5; 581.0264736413956; 289158.47; 1.2851687478184948;0;
 69357.0; 1401.900704741478; 871565.77; 1.0136894371063905;0;
 59489.0; 1413.2732886075974; 747560.82; 1.0058456621234841;0;
 37175.0; 733.2691149711609; 467154.83; 1.202200109161198;0;
 55773.0; 1268.1362047195435; 700864.19; 1.0917961289478002;0;
 55532.5; 1378.9473868608475; 697841.98; 1.0584563348272904;0;
 53340.5; 1484.0844700336456; 670296.49; 1.082810787384436;0;
 58090.5; 1273.6336801052094; 729986.75; 1.0121657661694194;0;
 55343.0; 897.3178825378418; 695460.65; 1.3450077206156732;0;
 58563.5; 927.8204101324081; 735930.65; 1.2805704680131462;0;
 68778.5; 1001.1341166496277; 864296.12; 1.0658138090911284;0;
 63291.5; 953.1341199874878; 795344.45; 1.088987482465969;0;
 48735.0; 854.0041779279709; 612422.07; 1.0615485910229563;0;
 57392.5; 920.7665915489197; 721215.43; 1.1781915417361342;0;
 58966.0; 928.7493469715118; 740988.61; 1.0833286987002484;0;
 47659.0; 844.4650728702545; 598900.66; 1.3736348488564245;0;
 42735.0; 791.2102429866791; 537023.85; 1.217977298452235;0;
 41743.0; 1275.7930603027344; 524558.01; 1.297917580702896;0;
 44368.0; 1019.3422684669495; 557544.73; 1.3943005019132073;0;
 40501.5; 762.742201924324; 508956.86; 1.1337043724328868;0;
 47072.0; 826.1219259500504; 591524.2; 1.1554037265919779;0;
 39287.5; 1157.6092940568924; 493701.29; 1.112331913069072;0;
 23877.0; 579.3279874324799; 300047.23; 1.2157456542601153;0;
 79247.5; 1078.3889523744583; 995853.46; 1.2296900351732611;0;
 51236.0; 875.2935026884079; 643850.56; 1.3794901828715451;0;
 51582.0; 868.8670928478241; 648198.53; 1.1430175737499504;0;
 53091.0; 873.1513645648956; 667161.18; 1.1792545857446906;0;
 28456.0; 668.2985509634018; 357588.64; 1.5727970268519502;0;
 94966.5; 2069.7556046247482; 1193384.23; 1.2077566257128505;0;
 49940.0; 1386.7880074977875; 627564.55; 1.2291862698071525;0;
 48761.0; 846.4061937332153; 612748.8; 1.0629433937314885;0;
 47501.0; 821.4356365203857; 596915.17; 1.1202197269250913;0;
 47192.0; 834.9259701967239; 593032.16; 1.083822832317842;0;
 42212.0; 1291.047892689705; 530451.64; 1.0703583872539795;0;
 49216.0; 846.0041736364365; 618466.5; 1.1396196688640572;0;
 53359.5; 882.9087229967117; 670535.25; 1.162299894899982;0;
 52369.5; 871.0264760255814; 658094.55; 1.0930818423833477;0;
 54942.5; 1485.5403137207031; 690427.82; 1.0748352290859733;0;
 53063.5; 1491.2560428380966; 666815.61; 1.1529338558258606;0;
 46270.0; 814.2396754026413; 581445.97; 1.0642292228114196;0;
 38955.5; 1034.0113153457642; 489529.25; 1.1427088763185655;0;
 43972.5; 1400.2854801416397; 552574.73; 1.112832749527756;0;
 51683.0; 859.0924916267395; 649467.73; 1.1674902525606048;0;
 39644.5; 1466.4864917993546; 498187.48; 1.1836625137427683;0;
 53729.0; 869.837655544281; 675178.53; 1.2297467914926;0;
 44861.5; 807.192990064621; 563746.24; 1.1399534096633575;0;
 46642.5; 819.8792858123779; 586126.94; 1.1497619062443032;0;
 50449.5; 849.5361413955688; 633967.11; 1.0747117457080142;0;
 48650.0; 833.494509100914; 611353.93; 1.1202051946098652;0;
 70049.0; 1017.3178803920746; 880261.7; 1.298699033274962;0;
 54900.5; 894.2813069820404; 689900.03; 1.2072320743810103;0;
 112487.5; 1302.354465842247; 1413559.61; 1.4142557924249013;0;
 97344.0; 2115.9048796892166; 1223260.78; 1.1986822471492133;0;
